SUID,id,name,selected,shared name
12664,1,SALL4,FALSE,SALL4
12666,1,ETS1,FALSE,ETS1
12667,1,WHSC1,FALSE,WHSC1
12668,1,MSX2,FALSE,MSX2
12669,1,GLI2,FALSE,GLI2
12670,1,GLI1,FALSE,GLI1
12671,1,TBX3,FALSE,TBX3
12673,1,DNMT3L,FALSE,DNMT3L
12675,1,ID1,FALSE,ID1
12676,1,GATA6,FALSE,GATA6
12678,1,RERE,FALSE,RERE
12679,1,DNMT3B,FALSE,DNMT3B
12680,1,TGIF1,FALSE,TGIF1
12681,1,CREB3,FALSE,CREB3
12682,1,BMP2,FALSE,BMP2
12683,1,FOXA2,FALSE,FOXA2
12684,1,BHLHE40,FALSE,BHLHE40
12685,1,PARP1,FALSE,PARP1
12686,1,EGR1,FALSE,EGR1
12687,1,KDM5B,FALSE,KDM5B
12688,1,ID2,FALSE,ID2
12689,1,PEG3,FALSE,PEG3
12690,1,JARID2,FALSE,JARID2
12691,1,TAX1BP3,FALSE,TAX1BP3
12692,1,SOX7,FALSE,SOX7
12693,1,HMGA1,FALSE,HMGA1
12694,1,NANOG,FALSE,NANOG
12695,1,ELF3,FALSE,ELF3
12696,1,DNMT3A,FALSE,DNMT3A
12697,1,POU5F1,FALSE,POU5F1
12698,1,NR0B1,FALSE,NR0B1
12699,1,SOX17,FALSE,SOX17
12700,1,GATA4,FALSE,GATA4
12701,1,KLF2,FALSE,KLF2
12702,1,FOXQ1,FALSE,FOXQ1
12703,1,UTF1,FALSE,UTF1
12704,1,SOX2,FALSE,SOX2